id,brand,fdacode,zipcode,street,country,tzone
872,"Caraco Pharmaceutical Laboratories, Ltd.",57664-224,,4 Bultman Way,Ukraine,Europe/Zaporozhye
873,REMEDYREPACK INC.,52125-715,,4416 Nova Park,China,Asia/Chongqing
874,Parfums Christian Dior,61957-1102,,3 Independence Street,China,Asia/Shanghai
875,"Antigen Laboratories, Inc.",49288-0833,,1542 Loeprich Crossing,China,Asia/Chongqing
876,Accord Healthcare Inc.,16729-219,78093 CEDEX 9,50306 Monica Park,France,Europe/Paris
877,Cardinal Health,55154-9433,26-330,935 Jay Terrace,Poland,Europe/Warsaw
878,"Physicians Total Care, Inc.",54868-6089,40225,78728 Talisman Drive,Germany,Europe/Berlin
879,REMEDYREPACK INC.,24236-303,4775-404,62 Rigney Hill,Portugal,Europe/Lisbon
880,Medline Industries Inc.,53329-139,,4 Mccormick Street,China,Asia/Harbin
881,Amerisource Bergen,24385-188,730019,8860 Ludington Junction,Colombia,America/Bogota
882,McKesson Contract Packaging,76237-153,,63092 Eagle Crest Avenue,China,Asia/Harbin
883,Advanced Generic Corporation,45737-217,52410,50 Drewry Pass,United States,America/Chicago
884,Cardinal Health,55154-8299,,331 David Point,China,Asia/Chongqing
885,"Hospira, Inc.",0409-9786,,270 Warrior Drive,China,Asia/Chongqing
886,REMEDYREPACK INC.,49349-419,,954 Blaine Court,Ukraine,Europe/Uzhgorod
887,Aidarex Pharmaceuticals LLC,33261-087,,0 Armistice Park,China,Asia/Shanghai
888,"WOONSOCKET PRESCRIPTION CENTER,INCORPORATED",59779-019,838-0813,9308 Fairview Trail,Japan,Asia/Tokyo
889,"Nelco Laboratories, Inc.",36987-1525,,52227 Main Junction,China,Asia/Chongqing
890,"Weeks & Leo Co., Inc.",11383-257,90-510,700 Springview Crossing,Poland,Europe/Warsaw
891,B. Braun Medical Inc.,0264-4460,81028 CEDEX 9,64 5th Street,France,Europe/Paris
892,Sanum Kehlbeck GmbH & Co. KG,60681-8002,2970-137,715 Trailsway Point,Portugal,Europe/Lisbon
893,"LEADER GREEN CO., LTD.",61221-020,5320-305,78564 Del Sol Alley,Portugal,Europe/Lisbon
894,GlaxoSmithKline LLC,0173-0756,2140-215,7415 Haas Point,Portugal,Europe/Lisbon
895,"Aloe Care International, LLC",61477-216,01-517,56 Caliangt Road,Poland,Europe/Warsaw
896,Mylan Institutional Inc.,51079-409,7400-014,4073 Dawn Drive,Portugal,Europe/Lisbon
897,Uriel Pharmacy Inc.,48951-1211,,74581 Bonner Alley,China,Asia/Harbin
898,"L.N.K. International, Inc.",50844-227,,861 Ryan Way,China,Asia/Shanghai
899,Dr. Dream Inc,53077-7001,,0713 Knutson Park,China,Asia/Chongqing
900,Ranbaxy Laboratories Inc.,10631-116,2890-206,500 1st Point,Portugal,Europe/Lisbon
901,Conopco Inc. d/b/a Unilever,64942-1128,686 04,8 Bartillon Parkway,Czech Republic,Europe/Prague
902,"OMP, Inc.",62032-200,,6337 Muir Parkway,China,Asia/Chongqing
903,"H.J. Harkins Company, Inc.",52959-055,,36926 Valley Edge Center,Ukraine,Europe/Simferopol
904,BluePoint Laboratories,68001-162,,244 Coleman Road,China,Asia/Shanghai
905,"Janssen Pharmaceuticals, Inc.",50458-540,,8 Reindahl Lane,China,Asia/Chongqing
906,"Taro Pharmaceuticals U.S.A., Inc.",51672-4117,,8 Grasskamp Road,Ukraine,Europe/Kiev
907,AMOREPACIFIC,43419-011,21-132,587 John Wall Street,Poland,Europe/Warsaw
908,Select Corporation,52904-493,3742,8420 Macpherson Park,New Zealand,Pacific/Auckland
909,STAT RX USA LLC,16590-295,,911 Express Trail,Estonia,Europe/Tallinn
910,GE Healthcare Inc.,0407-0690,17314 CEDEX,9 Loomis Alley,France,Europe/Paris
911,PuraVation Pharmaceuticals Inc,76270-116,,2 Spenser Court,China,Asia/Shanghai
912,EXPRO3 LLC,42957-001,,04543 Wayridge Alley,South Korea,Asia/Seoul
913,"PD-Rx Pharmaceuticals, Inc.",43063-196,,83139 Talmadge Lane,China,Asia/Shanghai
914,Unique Holding Group Inc,25225-020,,941 Oak Court,Georgia,Asia/Tbilisi
915,"Tercica, Inc.",15054-0211,704-8124,948 Rutledge Road,Japan,Asia/Tokyo
916,"American Oxygen Company, Inc",54384-1072,,27 Hovde Court,China,Asia/Chongqing
917,Kosan Kozmetik Sanayi ve Ticaret A.S.,61722-142,,01 Alpine Point,China,Asia/Harbin
918,"BTA Pharmaceuticals, Inc.",64455-192,06804 CEDEX,57 Parkside Park,France,Europe/Paris
919,"Safecor Health, LLC",48433-308,3080-222,6125 Commercial Drive,Portugal,Europe/Lisbon
920,Jubilant HollisterStier LLC,65044-0788,3630-074,34880 Lillian Place,Portugal,Europe/Lisbon
921,LABORATOIRES M&L,10345-027,,4 8th Avenue,China,Asia/Chongqing
922,GlaxoSmithKline LLC,0173-0759,,969 Nevada Circle,China,Asia/Shanghai
923,Shire US Manufacturing Inc.,54092-173,,7997 Westerfield Place,China,Asia/Shanghai
924,"Laser Pharmaceuticals, LLC",16477-820,32282,3094 Monterey Crossing,Croatia,Europe/Zagreb
925,Lake Erie Medical DBA Quality Care Products LLC,35356-582,,57582 Hanover Alley,China,Asia/Chongqing
926,Boscia LLC,76151-241,P75,66 Goodland Trail,Ireland,Europe/Dublin
927,Apotex Corp,60505-2967,,5818 Lerdahl Trail,China,Asia/Shanghai
928,Reese Pharmaceutical Co.,10956-200,,42045 Lyons Circle,China,Asia/Chongqing
929,Baxter Healthcare Corporation,0338-0519,,08 Vernon Plaza,China,Asia/Shanghai
930,MEGASOL COSMETIC GMBH,53389-000,,15428 Bay Parkway,China,Asia/Shanghai
931,"Galderma Laboratories, L.P.",0299-5770,369-0137,73 Rockefeller Lane,Japan,Asia/Tokyo
932,"Johnson & Johnson Consumer Products Company, Division of Johnson & Johnson Consumer Companies, Inc.",58232-0022,150477,3697 Summerview Hill,Colombia,America/Bogota
933,Amgen Inc,55513-075,,36 School Lane,China,Asia/Harbin
934,KAS Direct LLC dba BabyGanics,59062-1247,72-330,5215 Caliangt Avenue,Poland,Europe/Warsaw
935,State of Florida DOH Central Pharmacy,53808-0655,2540-664,14595 Ridgeway Trail,Portugal,Europe/Lisbon
936,Major Pharmaceuticals,0904-6045,,9 Hovde Parkway,Taiwan,Asia/Taipei
937,"Golden State Medical Supply, Inc",60429-214,,52 Longview Drive,Latvia,Europe/Riga
938,"Johnson & Johnson Consumer Products Company, Division of Johnson & Johnson Consumer Companies, Inc.",58232-0033,,57 Division Street,China,Asia/Chongqing
939,Washington Homeopathic Products,68428-722,,76720 Trailsway Court,China,Asia/Chongqing
940,Access Business Group,10056-276,,8 Kenwood Way,China,Asia/Harbin
941,NeoStrata Company Inc,58414-8808,23-415,8413 Thompson Trail,Poland,Europe/Warsaw
942,"Noven Therapeutics, LLC",68968-3500,4640-540,8 Farragut Street,Portugal,Europe/Lisbon
943,REMEDYREPACK INC.,49349-671,,433 Carpenter Hill,China,Asia/Shanghai
944,Dickey Consumer Products DBA DMD,65193-144,365-0024,1 Roth Point,Japan,Asia/Tokyo
945,Publix Super Markets Inc,56062-476,38-458,3966 Chive Way,Poland,Europe/Warsaw
946,"Antigen Laboratories, Inc.",49288-0457,,969 Schiller Way,China,Asia/Shanghai
947,Pfizer Laboratories Div Pfizer Inc,61570-048,35203 CEDEX 2,6136 Hanson Lane,France,Europe/Paris
948,"Physicians Total Care, Inc.",54868-4230,4805-556,78 Dovetail Pass,Portugal,Europe/Lisbon
949,"Chattem, Inc.",41167-6021,443049,76 Thompson Drive,Colombia,America/Bogota
950,"Aphena Pharma Solutions - Tennessee, LLC",67544-237,,830 Ridgeview Circle,China,Asia/Shanghai
951,Reckitt Benckiser LLC,63824-232,33169,82 Eagle Crest Street,United States,America/New_York
952,St Marys Medical Park Pharmacy,60760-215,55-002,213 Swallow Court,Poland,Europe/Warsaw
953,"Fenwal, Inc.",0942-6501,,72131 Crownhardt Road,China,Asia/Shanghai
954,American Health Packaging,68084-510,,75775 Coleman Avenue,China,Asia/Chongqing
955,"Medline Industries, Inc.",53329-641,,59297 Schmedeman Road,China,Asia/Shanghai
956,SHISEIDO AMERICAS CORPORATION,58411-225,,4478 Transport Alley,China,Asia/Chongqing
957,"Libertas Pharma, Inc.",51862-165,,22034 Stone Corner Street,China,Asia/Chongqing
958,"Novel Laboratories, Inc.",40032-551,,8 Clove Parkway,China,Asia/Harbin
959,Wakefern Food Corporation,41190-210,57-250,1163 Redwing Court,Poland,Europe/Warsaw
960,GE Healthcare Inc.,0407-0690,,371 Bunting Hill,China,Asia/Shanghai
961,"Paddock Laboratories, LLC",0574-1103,9555-145,12 Beilfuss Pass,Portugal,Africa/Accra
962,WEGMANS FOOD MARKETS INC,47124-295,,7 Hintze Circle,China,Asia/Chongqing
963,"Antigen Laboratories, Inc.",49288-0782,383 01,191 East Court,Czech Republic,Europe/Prague
964,Cardinal Health,55154-3276,75971 CEDEX 20,45312 Roth Circle,France,Europe/Paris
965,"APP Pharmaceuticals, LLC",63323-300,,1029 Monterey Pass,China,Asia/Chongqing
966,Unit Dose Services,50436-3024,,8 8th Park,Ukraine,Europe/Zaporozhye
967,CHANEL PARFUMS BEAUTE,68745-1153,783 53,44199 Mayer Lane,Czech Republic,Europe/Prague
968,"Nelco Laboratories, Inc.",36987-2727,4085,43 Farragut Circle,Switzerland,Europe/Zurich
969,EQUALINE (SuperValu),41163-691,,02005 Roth Pass,China,Asia/Harbin
970,Rite Aid Corporation,11822-0637,03005,08 Carey Plaza,Spain,Europe/Madrid
971,"Chain Drug Marketing Association, Inc.",63868-267,439 31,400 Arapahoe Pass,Czech Republic,Europe/Prague
972,State of Florida DOH Central Pharmacy,53808-0162,,86 American Ash Point,China,Asia/Shanghai
973,Jubilant HollisterStier LLC,65044-3510,69395 CEDEX 03,2140 Leroy Hill,France,Europe/Paris
974,"Par Pharmaceutical Companies, Inc.",49884-403,34-330,957 Mariners Cove Circle,Poland,Europe/Warsaw
975,STAT RX USA LLC,16590-635,OX7,5478 Reindahl Crossing,United Kingdom,Europe/London
976,A-S Medication Solutions LLC,54569-1990,202-0022,58 Dunning Road,Japan,Asia/Tokyo
977,"Antigen Laboratories, Inc.",49288-0234,,1 Sachs Road,China,Asia/Shanghai
978,BluePoint Laboratories,68001-160,55928,33265 Service Park,Malaysia,Asia/Kuala_Lumpur
979,"Watson Laboratories, Inc.",0591-3750,88847,5153 Armistice Circle,Malaysia,Asia/Kuching
980,Bryant Ranch Prepack,63629-4094,33994,94353 Pine View Point,United States,America/New_York
981,Universal holdings I LLC dba Smith Brothers Company,76461-024,,13786 Bowman Trail,China,Asia/Harbin
982,Meijer Distribution Inc,41250-975,1410,04 Merry Point,Denmark,Europe/Copenhagen
983,Laboratorios Columbia S.A. de C.V.,59567-001,,85 Bartelt Plaza,China,Asia/Shanghai
984,Unit Dose Services,50436-7382,9259,6 Elka Center,Norway,Europe/Oslo
985,"Alva-Amco Pharmacal Companies, Inc.",52389-154,30358,90509 Lotheville Street,United States,America/New_York
986,"SKINFOOD CO., LTD.",76214-007,,635 Bartillon Way,China,Asia/Chongqing
987,Dispensing Solutions Inc.,68258-3009,,30202 Donald Way,China,Asia/Chongqing
988,Carilion Materials Management,68151-1521,,90727 Schurz Trail,China,Asia/Chongqing
989,BluePoint Laboratories,68001-200,72-022,25655 Hooker Place,Poland,Europe/Warsaw
990,REMEDYREPACK INC.,49349-835,,6 North Crossing,China,Asia/Chongqing
991,Novo Nordisk,0169-7040,,0 Loftsgordon Crossing,China,Asia/Shanghai
992,Rebel Distributors Corp.,21695-915,2420-055,5236 Ruskin Circle,Portugal,Europe/Lisbon
993,SMART SENSE (Kmart),49738-244,59895 CEDEX 9,91 La Follette Pass,France,Europe/Paris
994,King Bio Inc.,57955-5120,,248 Prentice Center,China,Asia/Chongqing
995,Hyland's,54973-3103,73167,0076 Graedel Way,United States,America/Chicago
996,Apotex Corp.,60505-3532,SVR,64 Chinook Terrace,Malta,Europe/Malta
997,Mylan Institutional Inc.,51079-513,,70 Merchant Point,China,Asia/Shanghai
998,Cardinal Health,55154-0842,,21834 Vermont Hill,China,Asia/Shanghai
999,Nash-Finch Company (Our Family),70253-250,9630-224,2261 Mesta Pass,Portugal,Africa/Accra
1000,Sanum Kehlbeck GmbH & Co. KG,60681-3101,21037,1 Ridgeway Crossing,Germany,Europe/Berlin
